inaccessibles,pass,staking,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
moisture,pass,discoloured leaves,pass,Partial,pass,partial,partial,partial,partial,partial,pass,pass,partial,,,,,,,,
deadplants,partial,plant growth normal,pass,pass,pass,pass,partial,partial,partial,pass,pass,pass,pass,,,,,,,,
staking,pass,pets,fail,fail,fail,fail,pass,pass,pass,pass,fail,fail,pass,,,,,,,,
drippers,pass,diseases,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
p.p.in good order,pass,pipes in good order,N/A,N/A,pass,pass,partial,partial,pass,pass,partial,pass,partial,,,,,,,,
p.p. corr burried,pass,dead plants,pass,pass,partial,pass,pass,pass,pass,partial,pass,pass,partial,,,,,,,,
health status,pass,soil nutrient,pass,Partial,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,by precious,prunning,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,,inrow slashing,pass,pass,pass,fail,pass,pass,pass,pass,partial,pass,partial,,,,,,,,
03/03/25,b1s1 daily scouting,health status,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
basin formation,pass,ph correct,,,,,,,,,,,,,,,,,,,
basin weeds,"partial,,weeds regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,scouted by precious,,,,,,,,,,,,,,,,,,,
wet soil,"pass,due to rains",written by precious,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,"pass,i plant need support",,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"fail ,some green veg bugs",,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
dead plants,"Pass, 1",,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/04/25,b2s6 daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,partial,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
wet soil condition,pass,,,,,,,,,,,,,,,,,,,,
drippers,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"fail, some green veg bug nymphs and ",,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/05/25,b1s2 daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,"Pass, 1 plant need support",,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"fail, some green veg bugs and nymphs",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
ph correct,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/05/25,b2s3,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"pass, only green veg bug eggs found",,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/06/25,b1s1 check scouting after savage spray,,,,,,,,,,,,,,,,,,,,
pests,"fail, some green veg bug",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/06/25,b2s7 daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail ,2 nymphs of green veg bug found",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/07/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,partial incomplete field which need action,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"Partial ,2 variegated stink bug nymphs found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/07/25,b2s4 daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/07/25,b2s8 daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,partial,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,partial,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/08/25,b2s5 Daily scouting,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
ph correct,,PLANT  HEALTH DASH BOARD FROM 27FEB—13MARCH 2025,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,DATES,03/03/25,03/05/25,03/12/25,03/13/25,03/07/25,03/05/25,03/07/25,03/08/25,03/04/25,03/06/25,03/07/25,,,,,,,,
pruning,pass,ITERMS,B1S1,B1S2,B2S1A,B2S1B,B2S2,B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,,
inrow slashing,pass,basin formation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
health status,pass,basin weeds,Partial,partial,partial,partial,partial,FAIL,partial,partial,partial,pass,partial,,,,,,,,
,by precious,mowing,pass,pass,pass,fail,partial,pass,pass,pass,partial,fail,fail,,,,,,,,
03/12/25,b2s5 check scouting after savage spray,wet soil condition,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
Insect pests,pass ,pipes correctly burried,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
NB,4 lines with 14trees each which requires action,drippers,N/A,N/A,pass,pass,pass,pass,pass,pass,partial,pass,pass,,,,,,,,
,by precious,staking,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
03/12/25,b2s1a check scouting after savage spray,leaf colour,pass,pass,pass,pass,partial,pass,pass,pass,pass,pass,fail,,,,,,,,
Insect pests,pass,plant growth normal,pass,pass,pass,pass,partial,pass,pass,pass,pass,pass,pass,,,,,,,,
,by precious,pests,fail,fail,pass,pass,partial,pass,pass,pass,partial,partial,pass,,,,,,,,
03/13/25,b2s1b check scouting after savage spray,diseases,partial,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
Insect pests,pass,pipes in good order,N/A,N/A,pass,pass,partial,partial,pass,pass,partial,pass,partial,,,,,,,,
,by precious,dead plants,partial,pass,pass,pass,pass,pass,pass,partial,pass,pass,partial,,,,,,,,
,,soil nutrient,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
03/17/25,b1s1 daily scouting,prunning,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
basin formation,N/A,inrow slashing,pass,pass,pass,pass,pass,fail,partial,pass,pass,pass,pass,,,,,,,,
basin weeds,partial,ph correct,,,,,,,,,,,,,,,,,,,
mowing,pass,health status,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,pass,,,,,,,,
wet soil,pass,scouted by jacob and precious,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,written by precious,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pests,"fail,some green veg bug adults ,nymphs and eggs found ",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial, grass regrowth ",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
NB,some nuts starts to develop cracks on husks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/18/25,b2s8 check scouting after Acephate spray ,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/19/25,b1s2 check scouting  after savage spray,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail ,1  two spotted bug and some eggs found .however the population of ",,,,,,,,,,,,,,,,,,,,
,pests has decreased,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/19/25,b1s1,,,,,,,,,,,,,,,,,,,,
NB,"The field have got a problem on leaves,the leaves turns brown .This can ",,,,,,,,,,,,,,,,,,,,
,over use of insecticides and if it applied as run off on leaves,,,,,,,,,,,,,,,,,,,,
03/20/25,b2s7 daily scouting parallel morning,,,,,,,,,,,,,,,,,,,,
insect pests,"Partial ,3 nymphs and some eggs of green veg bugs found",,,,,,,,,,,,,,,,,,,,
diseases,"Partial, 3 plants with phytophthora root rot .",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,partial,,,,,,,,,,,,,,,,,,,,
mowing,"partial,incomplete",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail,,,,,,,,,,,,,,,,,,,,
health status,"partial ,due to phythophthora on 3 plants",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/20/25,b2s6.daily scouting ,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail, 1 coconut bug,green vegetable bug nymphals and some eggs found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
NB,husks cracking in the orchard require further assessment,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/21/25,b2s8 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/21/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail, some green veg bug nymhs found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/21/25,b2s1b,,,,,,,,,,,,,,,,,,,,
insect pests,"fail, nymhals of green veg bug found [4]",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,"inprogress ,slashing",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/24/25,b2s3 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,stem canker and wounds",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial ,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
 drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,"partial,stem canker to be prevented with PVA and Copper",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/24/25,b2s5 ,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial,there is a soil borne diseases which lead to death of big trees.",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
deadplants,partial,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,"partial,due to stem canker and color rot",,,,,,,,,,,,,,,,,,,,
,Although some plants have green and healthy look.,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/25/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,"PASS, hoes shoe basin was done",,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass,most of the plants have a magnificant rejuvination in a healthy look",,,,,,,,,,,,,,,,,,,,
,as a results of compost manure and fertilizers,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
03/25/25,b2s4 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
destumping,partial inprogress Excavator,,,,,,,,,,,,,,,,,,,,
Arachis pintoi,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass,the applied compost manure and fertilizers helps a lot to improve ",,,,,,,,,,,,,,,,,,,,
,the health status of B2S4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/27/25,,,,,,,,,,,,,,,,,,,,,
PLANT HEALTH DASH BOARD FROM 17/03/25 TO 27/03/25,,,,,,,,,,,,,,,,,,,,,
DATES,03/17/25,03/19/25,03/21/25,03/21/25,03/25/25,03/24/25,03/25/25,03/24/25,03/27/25,03/20/25,03/21/25,,,,,,,,,,
ITEMS,B1S1,B1S2,B2S1A,B2S1B,B2S2,B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,,,,
pests,partial,fail,partial,partial,pass,pass,pass,pass,pass,partial,pass,,,,,,,,,,
diseases,fail,pass,pass,pass,pass,partial,pass,fail,pass,pass,pass,,,,,,,,,,
basin formation,N/A,N/A,N/A,N/A,pass,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
basin weeds,pass,pass,fail,pass,fail,fail,fail,fail,fail,pass,fail,,,,,,,,,,
mowing,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail,,,,,,,,,,
wet soil,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,
pipes in good order,N/A,N/A,pass,pass,partial,partial,pass,pass,partial,pass,partial,,,,,,,,,,
pipes correctly burried,N/A,N/A,pass,pass,pass,pass,pass,pass,partial,pass,pass,,,,,,,,,,
drippers,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,
staking,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,
pruning,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,
plant growth,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,
leaf colour,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,,,,,,,,,,
dead plants,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,partail,,,,,,,,,,
ph correct,"6,8","6,8","6,8","6,4","5,8","5,6","6,8","5,4","6,8","6,8","6,8",,,,,,,,,,
